Customer ID,Recency,Frequency,Monetary,AverageOrderValue,TotalQuantity,UniqueProducts,CustomerLifetime,AveragePurchaseGap,Churn
12346,325,1,77183.6,77183.6,74215,1,0,0.0,1
12347,1,7,4310.0,23.681318681318682,2458,103,365,2.0,0
12348,74,4,1797.24,57.97548387096774,2341,22,282,9.4,0
12349,18,1,1757.55,24.076027397260273,631,73,0,0.0,0
12350,309,1,334.40000000000003,19.67058823529412,197,17,0,0.0,1
12352,35,8,2506.04,29.482823529411764,536,59,260,3.0714285714285716,0
12353,203,1,89.0,22.25,20,4,0,0.0,1
12354,231,1,1079.4,18.610344827586207,530,58,0,0.0,1
12355,213,1,459.40000000000003,35.338461538461544,240,13,0,0.0,1
12356,22,3,2811.43,47.65135593220339,1591,53,302,5.206896551724138,0
12357,32,1,6207.67,47.38679389312977,2708,131,0,0.0,0
12358,1,2,1168.06,61.47684210526315,248,13,149,8.277777777777779,0
12359,57,4,6310.03,25.755224489795918,1609,214,274,1.1188524590163935,0
12360,51,3,2662.06,20.63612403100775,1165,105,148,1.15625,0
12361,286,1,189.9,18.990000000000002,91,10,0,0.0,1
12362,2,10,5226.2300000000005,19.64748120300752,2229,201,292,1.0830188679245283,0
12363,109,2,552.0,24.0,408,23,132,6.0,1
12364,7,4,1313.1,15.448235294117646,1506,70,104,1.2261904761904763,0
12365,290,2,641.38,29.153636363636362,174,22,0,0.0,1
12367,3,1,168.9,15.354545454545455,173,11,0,0.0,0
12370,50,4,3541.94,21.33698795180723,2352,143,309,1.8666666666666667,0
12371,44,2,1887.96,29.96761904761905,591,63,14,0.22580645161290322,0
12372,71,3,1298.04,24.962307692307693,794,34,224,4.392156862745098,0
12373,310,1,364.6,26.042857142857144,197,14,0,0.0,1
12374,24,1,742.9300000000001,22.513030303030305,342,33,0,0.0,0
12375,10,2,457.5,26.91176470588235,178,14,87,5.4375,0
12377,314,2,1628.1200000000001,21.144415584415587,944,72,39,0.5131578947368421,1
12378,129,1,4008.62,18.30420091324201,2529,219,0,0.0,1
12379,81,2,852.24,21.306,407,39,88,2.2564102564102564,0
12380,21,4,2724.81,26.200096153846154,1127,77,164,1.5728155339805825,0
12381,4,5,1845.31,21.21045977011494,808,70,115,1.313953488372093,0
12383,184,5,1850.56,18.69252525252525,1532,84,167,1.683673469387755,1
12384,28,2,585.27,21.676666666666666,126,26,92,3.5384615384615383,0
12386,337,2,401.9,40.19,354,10,29,3.2222222222222223,1
12388,15,6,2780.6600000000003,27.806600000000003,1462,57,311,3.121212121212121,0
12390,79,1,549.84,17.1825,353,32,0,0.0,0
12391,21,1,439.66,4.72752688172043,293,92,0,0.0,0
12393,71,4,1582.6000000000001,24.728125000000002,816,47,260,4.111111111111111,0
12394,63,2,1272.48,47.12888888888889,819,26,153,5.884615384615385,0
12395,18,12,3018.63,19.350192307692307,2118,91,351,2.232258064516129,0
12397,35,2,2409.9,19.126190476190477,1263,110,99,0.792,0
12398,45,1,1635.6599999999999,19.24305882352941,1394,85,0,0.0,0
12399,118,4,1108.65,18.790677966101697,1178,47,142,2.4482758620689653,1
12401,302,1,84.3,16.86,11,5,0,0.0,1
12402,322,1,225.60000000000002,20.50909090909091,94,11,0,0.0,1
12403,49,1,427.7,85.53999999999999,96,5,0,0.0,0
12405,148,1,1710.39,31.67388888888889,857,54,0,0.0,1
12406,21,2,3415.3,32.52666666666667,1818,92,161,1.5480769230769231,0
12407,49,5,1708.12,22.18337662337662,1416,57,214,2.789473684210526,0
12408,32,5,2888.55,27.51,1409,81,227,2.173076923076923,0
12409,78,3,11072.67,101.58412844036697,5551,91,103,0.9537037037037037,0
12410,308,2,693.33,26.66653846153846,211,26,0,0.0,1
12412,74,3,1226.88,20.112786885245903,829,43,94,1.55,0
12413,66,3,758.1,19.95,286,29,270,7.27027027027027,0
12414,216,3,562.4100000000001,31.245000000000005,300,16,93,5.411764705882353,1
12415,23,21,124914.53,174.95032212885152,77374,444,313,0.42496493688639553,0
12417,2,9,3649.1,19.005729166666665,1552,158,354,1.8324607329842932,0
12418,112,1,668.58,19.664117647058823,407,34,0,0.0,1
12420,63,1,600.39,20.70310344827586,345,29,0,0.0,0
12421,15,4,807.04,17.93422222222222,484,32,303,6.840909090909091,0
12422,95,3,803.5600000000001,20.604102564102565,370,39,229,6.0,1
12423,0,8,1859.31,14.87448,1339,97,352,2.814516129032258,0
12424,162,2,1760.96,58.69866666666667,740,30,0,0.0,1
12425,77,1,777.2,21.58888888888889,496,36,0,0.0,0
12426,194,1,582.73,19.424333333333333,258,30,0,0.0,1
12427,21,3,825.8000000000001,26.638709677419357,533,26,349,11.633333333333333,0
12428,25,9,7956.46,27.062789115646257,3536,258,257,0.8703071672354948,0
12429,8,4,3750.4,38.66391752577319,1557,82,356,3.6979166666666665,0
12430,42,1,256.4,23.30909090909091,117,11,0,0.0,0
